Id,Paper,DOI,Species,Year,Country,Sites,Experimental.design,Repetitions,Treatment,Nrates_kg_ha,Sowing.Date,Harvest_Date,Row_Space,Water,Water_applied,Genotype,W_ton_ha,Nupt_kg_ha,Nobs%,Npred%,W_LSD,W_CV,W_SE_min,W_SE_Max,Nconc_LSD,Nconc_SE_min,Nconc_SE_Max,Nupt_SE_min,Nupt_SE_Max,Sampling_time,Observation
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N0 ,0,3-Mar,,,,,Grasslands Tama,0.408669,,1.99,1.99,0,,0,0,,,,,,t1,9/5/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N1,50,3-Mar,,,,,Grasslands Tama,0.9053807,,3.24,3.24,0,,0,0,,,,,,t1,9/5/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N2,100,3-Mar,,,,,Grasslands Tama,0.983689,,4.19,4.19,0,,0,0,,,,,,t1,9/5/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N3,150,3-Mar,,,,,Grasslands Tama,1.043859,,4.41,4.41,0,,0,0,,,,,,t1,9/5/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N4,200,3-Mar,,,,,Grasslands Tama,1.018996,,5.08,5.08,0,,0,0,,,,,,t1,9/5/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N5,250,3-Mar,,,,,Grasslands Tama,1.051912,,5.34,5.34,0,,0,0,,,,,,t1,9/5/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N0 ,0,3-Mar,,,,,Grasslands Tama,0.4931183,,1.66,1.66,0,,0,0,,,,,,t2,9/15/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N1,50,3-Mar,,,,,Grasslands Tama,1.633892,,2.53,2.53,0,,0,0,,,,,,t2,9/15/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N2,100,3-Mar,,,,,Grasslands Tama,1.627661,,3.21,3.21,0,,0,0,,,,,,t2,9/15/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N3,150,3-Mar,,,,,Grasslands Tama,1.854629,,3.85,3.85,0,,0,0,,,,,,t2,9/15/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N4,200,3-Mar,,,,,Grasslands Tama,1.845501,,3.56,3.56,0,,0,0,,,,,,t2,9/15/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N5,250,3-Mar,,,,,Grasslands Tama,2.014178,,4.22,4.22,0,,0,0,,,,,,t2,9/15/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N0 ,0,3-Mar,,,,,Grasslands Tama,1.356999,,1.87,1.87,0,,0,0,,,,,,t3,9/22/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N1,50,3-Mar,,,,,Grasslands Tama,2.29609,,2.48,2.48,0,,0,0,,,,,,t3,9/22/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N2,100,3-Mar,,,,,Grasslands Tama,3.014117,,2.95,2.95,0,,0,0,,,,,,t3,9/22/94
