Day,Temperature,fat_perc,force
1,350,2,7.4
1,375,2,11.2
1,400,2,11.8
2,350,2,8.7
2,375,2,10.3
2,400,2,12.9
3,350,2,7
3,375,2,8.7
3,400,2,12.1
4,350,2,9.1
4,375,2,9.8
4,400,2,11.7
1,350,4,7.1
1,375,4,11.1
1,400,4,11.2
2,350,4,8.1
2,375,4,10.1
2,400,4,14
3,350,4,6.4
3,375,4,7.7
3,400,4,12.1
4,350,4,8.1
4,375,4,8.8
4,400,4,12.1
1,350,6,7.2
1,375,6,11.1
1,400,6,11.3
2,350,6,7.4
2,375,6,9.7
2,400,6,13.6
3,350,6,6.4
3,375,6,7.4
3,400,6,12.2
4,350,6,8.3
4,375,6,8.5
4,400,6,11.9
1,350,8,6.7
1,375,8,10.6
1,400,8,11.4
2,350,8,7.2
2,375,8,9.4
2,400,8,12.7
3,350,8,6.1
3,375,8,7.4
3,400,8,12.2
4,350,8,8
4,375,8,8.4
4,400,8,11.4
