clinic,dog,age,rad,chemo,died,months
1,1,7.723022938,0,1,1,9.138536453
5,2,4.153927803,0,0,1,6.422768593
5,3,8.357284546,1,0,0,8.842155457
5,4,9.225345612,1,1,0,20.72814178
5,5,7.999773026,0,0,1,10.01384258
3,6,4.61209631,0,1,1,15.01994324
7,7,6.979216099,1,1,1,20.00488472
1,8,4.903216362,0,0,1,6.088850975
2,9,10.66692257,0,1,0,8.481228828
7,10,6.33919239,1,0,0,8.787143707
5,11,5.183625221,0,1,1,12.30035591
5,12,3.872350454,0,0,1,12.63112259
2,13,4.158807755,0,0,0,10.82693958
3,14,7.344549179,1,1,1,8.732316017
2,15,7.626390934,1,0,0,0.859935403
7,16,3.069291115,0,1,1,16.40416718
6,17,8.818165779,0,0,1,13.74221611
6,18,8.679990768,0,0,0,10.3273344
1,19,11.00127983,1,1,1,18.91346359
1,20,7.011989594,0,0,0,3.396211624
3,21,8.263904572,1,1,0,16.16033363
6,22,4.339387417,0,1,0,16.38669205
3,23,7.623560905,0,0,1,5.392874718
4,24,6.08008194,1,1,1,35.89479446
1,25,2.173153877,0,0,0,8.599455833
7,26,7.436193943,1,1,1,22.0664196
6,27,3.898510933,0,1,0,2.898772001
7,28,3.077394485,1,1,1,20.53794289
3,29,6.632944584,1,1,1,18.48417091
5,30,7.585650921,1,1,0,14.30285168
5,31,3.167726517,1,0,1,16.86227798
6,32,9.18667984,1,1,0,14.15546799
2,33,10.2443924,1,0,1,10.55980682
7,34,8.177372932,1,1,0,28.64182663
4,35,5.149251461,0,0,1,6.883811951
2,36,6.294099331,1,0,0,10.21505547
5,37,4.265737534,0,0,0,11.28628349
5,38,7.308641911,1,1,1,11.63158703
2,39,9.040212631,0,0,0,17.44911194
3,40,8.565174103,1,1,1,25.31909943
3,41,2.183503151,1,1,1,17.41913986
7,42,8.045983315,1,0,0,4.138057232
6,43,8.101243019,1,1,0,18.35365105
4,44,12.39938641,1,0,1,12.78114128
