oven_temp,recipe,rep,subsample,height_cm
400,C,1,1,3
400,C,1,2,4.5
400,C,1,3,3.3
400,B,1,1,2.1
400,B,1,2,2
400,B,1,3,2.1
250,B,2,1,1.5
250,B,2,2,1.7
250,B,2,3,2
250,C,2,1,2.3
250,C,2,2,2.5
250,C,2,3,2.2
400,B,3,1,2.5
400,B,3,2,2.4
400,B,3,3,2.5
400,C,3,1,2.8
400,C,3,2,2.9
400,C,3,3,3.1
250,C,4,1,2.5
250,C,4,2,2.5
250,C,4,3,2.3
250,B,4,1,2.2
250,B,4,2,2
250,B,4,3,2.3
400,C,5,1,3
400,C,5,2,3
400,C,5,3,2.5
400,B,5,1,2.3
400,B,5,2,2
400,B,5,3,2.5
500,B,6,1,3
500,B,6,2,2.7
500,B,6,3,3
500,C,6,1,3.5
500,C,6,2,3.2
500,C,6,3,3.4
500,B,7,1,2.8
500,B,7,2,3
500,B,7,3,2.6
500,C,7,1,3.3
500,C,7,2,3.4
500,C,7,3,3.4
250,B,8,1,2.3
250,B,8,2,2.3
250,B,8,3,2.3
250,C,8,1,3
250,C,8,2,2.9
250,C,8,3,2.8
500,B,9,1,2
500,B,9,2,2
500,B,9,3,2.5
500,C,9,1,3.5
500,C,9,2,3
500,C,9,3,3
