herd,cow,tx,lact,thin,dar,preg
1,1,0,1,0,1,1
1,2,1,4,1,1,1
1,3,1,1,0,2,1
1,4,1,1,0,3,1
1,5,1,6,0,3,0
1,6,1,1,0,3,1
1,7,1,1,1,3,1
1,8,1,2,0,3,1
1,9,1,1,1,3,1
1,10,1,1,1,3,1
1,11,1,8,0,4,1
1,12,0,1,1,6,1
1,13,0,1,1,6,1
1,14,0,2,0,7,1
1,15,0,2,0,13,1
1,16,0,4,1,16,1
1,17,1,5,1,17,1
1,18,0,3,1,18,1
1,19,0,4,0,20,1
1,20,0,1,1,22,1
1,21,0,2,0,26,1
1,22,1,1,0,27,1
1,23,1,2,0,27,0
1,24,1,2,0,27,1
1,25,0,5,0,30,0
1,26,0,3,0,33,1
1,27,0,1,0,36,1
1,28,1,5,0,40,1
1,30,1,3,0,47,1
1,31,1,2,0,49,1
1,33,1,2,0,53,1
1,34,0,1,1,54,1
1,35,0,3,0,57,1
1,36,0,4,0,57,1
1,37,0,6,0,58,1
1,38,0,3,1,58,1
1,39,1,3,0,61,0
1,41,1,1,0,70,1
1,42,1,5,0,70,0
1,43,0,2,1,70,1
1,44,1,3,0,73,1
1,45,1,1,1,74,1
1,46,1,2,0,75,1
1,47,0,3,0,80,1
1,48,0,5,0,81,1
1,49,0,3,1,81,1
1,50,1,2,0,84,1
1,51,1,1,0,86,1
1,52,1,2,0,90,1
1,53,0,1,0,91,1
1,54,0,2,0,92,1
1,55,0,2,0,102,1
1,56,0,4,0,103,1
1,57,0,5,1,105,1
1,58,1,2,1,106,1
1,59,1,7,0,109,1
1,60,0,3,0,110,1
1,61,1,4,1,113,0
1,62,0,7,0,117,1
1,63,1,1,1,121,1
1,64,1,3,0,122,1
1,65,1,1,0,128,0
1,66,1,3,0,140,1
1,67,0,3,1,141,1
1,68,0,1,1,146,1
1,69,0,3,0,149,0
1,70,1,3,0,153,1
1,71,1,6,1,153,0
1,72,0,2,1,173,1
1,73,0,1,0,189,1
1,74,0,6,0,200,1
1,75,0,3,0,241,1
1,76,1,1,0,277,0
2,78,0,2,1,1,1
2,79,1,4,0,1,1
2,80,1,1,0,2,1
2,81,1,2,0,3,1
