"Pig","Treatment","Pen","Time","Temperature_C"
"16-7","B",1,0,39.6666666666667
"23-10","C",2,0,40
"1-8","A",3,0,40.1111111111111
"3-3","E",4,0,39.9444444444444
"6-13","D",5,0,40.0555555555556
"19-10","B",6,0,40.3888888888889
"9-6","E",7,0,40
"12-14","A",8,0,39.6111111111111
"16-3","C",9,0,39.4444444444444
"20-14","D",13,0,39.7222222222222
"10-7","E",14,0,40.1111111111111
"12-11","A",15,0,39.9444444444444
"14-16","D",16,0,39.5
"25-6","C",17,0,40.1666666666667
"21-7","B",18,0,40.1666666666667
"21-10","B",19,0,39.9444444444444
"8-12","D",20,0,39.8333333333333
"2-12","C",21,0,39.8333333333333
"3-11","E",24,0,40
"10-4","A",25,0,39.8888888888889
"14-3","D",26,0,39.9444444444444
"3-8","A",27,0,39.6111111111111
"15-12","C",28,0,40.1111111111111
"15-11","B",29,0,39.6666666666667
"1-10","E",30,0,39.8888888888889
"14-17","C",31,0,39.7777777777778
"8-6","A",32,0,39.5
"10-17","B",36,0,39.6111111111111
"6-16","E",37,0,39.6666666666667
"11-10","A",38,0,39.8888888888889
"9-18","C",39,0,40.1111111111111
"22-7","D",40,0,39.8888888888889
"24-2","E",41,0,40.0555555555556
"20-3","B",42,0,39.9444444444444
"7-7","A",43,0,40.1666666666667
"2-4","D",44,0,39.3888888888889
"3-13","B",45,0,39.5555555555556
"20-4","D",46,0,39.8333333333333
"3-4","C",47,0,39.5
"25-8","E",48,0,39.4444444444444
"12-15","C",49,0,39.8333333333333
"16-5","D",50,0,39.8888888888889
"17-4","E",51,0,39.8888888888889
"2-13","B",52,0,39.9444444444444
"13-4","A",53,0,39.7777777777778
"15-6","E",56,0,40.7777777777778
"24-10","A",57,0,39.6666666666667
"9-4","D",58,0,40.6111111111111
"22-4","C",59,0,39.9444444444444
"15-5","B",60,0,40
"7-5","D",61,0,40.0555555555556
"22-13","A",62,0,39.7222222222222
"16-8","B",63,0,40.1111111111111
"13-11","E",68,0,40.1666666666667
"11-11","C",69,0,39.6666666666667
"14-8","D",70,0,39.7222222222222
"9-19","E",71,0,40.1111111111111
"5-1","C",72,0,40.2222222222222
"18-10","B",73,0,40.2222222222222
"23-9","A",74,0,39.8888888888889
"20-7","D",75,0,39.8888888888889
"15-15","B",78,0,40
"11-12","E",79,0,40.1111111111111
"14-5","A",80,0,39.7777777777778
"15-14","C",81,0,40.7777777777778
"9-1","B",82,0,40.1111111111111
"16-4","C",83,0,40.2222222222222
"14-13","A",84,0,40
"20-9","D",85,0,40.2777777777778
"14-15","E",86,0,39.2222222222222
"16-7","B",1,2,41.3333333333333
"23-10","C",2,2,40.9444444444444
"1-8","A",3,2,39.5
"3-3","E",4,2,40.6666666666667
"6-13","D",5,2,40.7777777777778
"19-10","B",6,2,41.1666666666667
"9-6","E",7,2,39.8333333333333
"12-14","A",8,2,40.6111111111111
"16-3","C",9,2,40.0555555555556
"20-14","D",13,2,41.1111111111111
"10-7","E",14,2,40.5
"12-11","A",15,2,40.8333333333333
"14-16","D",16,2,40.5555555555556
"25-6","C",17,2,40.2777777777778
"21-7","B",18,2,41.0555555555556
"21-10","B",19,2,40.9444444444444
"8-12","D",20,2,40.6111111111111
"2-12","C",21,2,40.6111111111111
"3-11","E",24,2,40.8888888888889
"10-4","A",25,2,41.0555555555556
"14-3","D",26,2,40.8333333333333
"3-8","A",27,2,40.9444444444444
"15-12","C",28,2,40.6666666666667
"15-11","B",29,2,40.6111111111111
"1-10","E",30,2,40.5
"14-17","C",31,2,40.2222222222222
"8-6","A",32,2,39.6111111111111
"10-17","B",36,2,39.8888888888889
"6-16","E",37,2,40.2222222222222
"11-10","A",38,2,39.8333333333333
"9-18","C",39,2,41.2222222222222
"22-7","D",40,2,40.3888888888889
"24-2","E",41,2,40.6666666666667
"20-3","B",42,2,40.8333333333333
"7-7","A",43,2,41.2777777777778
"2-4","D",44,2,39.6111111111111
"3-13","B",45,2,40.3888888888889
